Run,N,IMG_WIDTH,RELU_EN,NUM_KERNELS,TARGET_NS,MAX_FREQ_MHz,LUT,FF,DSP,BRAM,Power_W,WNS_ns,Fmax_MHz,FOM_MAX_FREQ
1,3,32,0,1,2.56,390.625,53,98,9,0,0.133,NA,390.625,0.014948
2,3,32,0,2,2.56,390.625,66,172,18,0,0.158,NA,390.625,0.013104
3,3,32,0,3,2.56,390.625,72,257,27,0,0.189,NA,390.625,0.011162
4,3,64,0,1,2.56,390.625,68,100,9,0,0.134,NA,390.625,0.014407
5,3,64,0,2,2.56,390.625,80,173,18,0,0.158,NA,390.625,0.012917
6,3,64,0,3,2.56,390.625,90,257,27,0,0.188,NA,390.625,0.011082
7,5,32,0,1,2.56,390.625,79,249,25,0,0.179,NA,390.625,0.004204
8,5,32,0,2,2.56,390.625,92,454,50,0,0.251,NA,390.625,0.003074
9,5,32,0,3,2.56,390.625,101,686,75,0,0.334,NA,390.625,0.002332
10,4,32,0,1,2.56,390.625,64,164,16,0,0.155,NA,390.625,0.007467
11,4,32,0,2,2.56,390.625,76,294,32,0,0.201,NA,390.625,0.005937
12,4,32,0,3,2.56,390.625,85,470,48,0,0.255,NA,390.625,0.004734
13,7,32,0,1,2.56,390.625,118,456,49,0,0.259,NA,390.625,0.001504
14,7,32,0,2,2.56,390.625,138,847,98,0,0.398,NA,390.625,0.000997
15,7,32,0,3,2.56,390.625,163,1297,147,0,0.541,NA,390.625,0.000738
16,3,8,0,1,2.56,390.625,42,96,9,0,0.133,NA,390.625,0.015282
17,3,8,0,2,2.56,390.625,50,168,18,0,0.158,NA,390.625,0.013324
18,3,8,0,3,2.56,390.625,63,253,27,0,0.189,NA,390.625,0.011234
19,3,32,1,1,2.56,390.625,51,98,9,0,0.134,NA,390.625,0.014896
20,3,32,1,2,2.56,390.625,64,173,18,0,0.158,NA,390.625,0.013131
21,3,32,1,3,2.56,390.625,71,243,27,0,0.188,NA,390.625,0.011230
